,label,original,simplified,split,BERTSimilarity,split BERTSimilarity,avg split BERTSimilarity,BLEU,split BLEU,avg split BLEU,ROUGE 1,split ROUGE 1,avg split ROUGE 1,ROUGE 2,split ROUGE 2,avg split ROUGE 2,ROUGE L,split ROUGE L,avg split ROUGE L,QuestEval,split QuestEval,avg split QuestEval
0,wiki-clock-en.txt,A clock or a timepiece is a device used to measure and indicate time.,A clock or timepiece is a piece of equipment that measures time.,['A clock or timepiece is a piece of equipment that measures time.'],0.9712918996810913,[0.9712918996810913],0.9712918996810913,7.029695662739608,[7.029695662739608],7.029695662739608,0.5454545454545454,[0.5454545454545454],0.5454545454545454,0.22222222222222224,[0.22222222222222224],0.22222222222222224,0.5454545454545454,[0.5454545454545454],0.5454545454545454,0.8372827147444089,[0.8372827147444089],0.8372827147444089
1,wiki-clock-en.txt,"The clock is one of the oldest human inventions, meeting the need to measure intervals of time shorter than the natural units: the day, the lunar month, year and galactic year.","The clock is one of the oldest human inventions. People needed a way to measure time that was shorter than the amount of time in the day, month, year and year.","['The clock is one of the oldest human inventions', 'People needed a way to measure time that was shorter than the amount of time in the day, month, year and year.']",0.9412087202072144,"[0.8247233033180237, 0.8782299757003784]",0.851476639509201,39.56716729452431,"[21.505750162756012, 14.586602326828647]",18.046176244792328,0.6875,"[0.38095238095238093, 0.5]",0.44047619047619047,0.3333333333333333,"[0.3157894736842105, 0.15384615384615385]",0.23481781376518218,0.6875,"[0.38095238095238093, 0.5]",0.44047619047619047,0.5639168259012636,"[0.7156949871116214, 0.2782724420597524]",0.4969837145856869
2,wiki-clock-en.txt,Devices operating on several physical processes have been used over the millennia.,Several different physical processes have been used over the millennia.,['Several different physical processes have been used over the millennia.'],0.9425528645515442,[0.9425528645515442],0.9425528645515442,64.79121525090147,[64.79121525090147],64.79121525090147,0.7499999999999999,[0.7499999999999999],0.7499999999999999,0.6666666666666666,[0.6666666666666666],0.6666666666666666,0.7499999999999999,[0.7499999999999999],0.7499999999999999,0.5659296037974181,[0.5659296037974181],0.5659296037974181
3,wiki-clock-en.txt,"Some predecessors to the modern clock may be considered as ""clocks"" that are based on movement in nature: A sundial shows the time by displaying the position of a shadow on a flat surface.","Some predecessors to the modern clock may be considered as ""clocks"": A sundial shows the time by showing the position of a shadow on a flat surface, as the sun sets and the sun rises.","['Some predecessors to the modern clock may be considered as ""clocks"": A sundial shows the time by showing the position of a shadow on a flat surface, as the sun sets and the sun rises.']",0.9695129990577698,[0.9695129990577698],0.9695129990577698,63.645329295689486,[63.645329295689486],63.645329295689486,0.7272727272727272,[0.7272727272727272],0.7272727272727272,0.5806451612903225,[0.5806451612903225],0.5806451612903225,0.7272727272727272,[0.7272727272727272],0.7272727272727272,0.5921883240894035,[0.5921883240894035],0.5921883240894035
4,wiki-clock-en.txt,"There is a range of duration timers, a well-known example being the hourglass.",There are different types of timers. An example of a timer is the hourglass.,"['There are different types of timers', 'An example of a timer is the hourglass.']",0.9160975813865662,"[0.8222305178642273, 0.8890620470046997]",0.8556462824344635,4.529280187247068,"[0.30934588294313714, 4.5466972369917125]",2.4280215599674246,0.5,"[0.3333333333333333, 0.3333333333333333]",0.3333333333333333,0.0,"[0, 0]",0.0,0.5,"[0.3333333333333333, 0.3333333333333333]",0.3333333333333333,0.54345729748408,"[0.3652824560801188, 0.5433150918947326]",0.4542987739874257
5,wiki-clock-en.txt,"Water clocks, along with the sundials, are possibly the oldest time-measuring instruments.","Water clocks, along with sundials, are probably the oldest instruments to measure time.","['Water clocks, along with sundials, are probably the oldest instruments to measure time.']",0.9846599698066711,[0.9846599698066711],0.9846599698066711,35.404085389375965,[35.404085389375965],35.404085389375965,0.7999999999999999,[0.7999999999999999],0.7999999999999999,0.30769230769230765,[0.30769230769230765],0.30769230769230765,0.6666666666666666,[0.6666666666666666],0.6666666666666666,0.7528221257674841,[0.7528221257674841],0.7528221257674841
6,wiki-clock-en.txt,"A major advance occurred with the invention of the verge escapement, which made possible the first mechanical clocks around 1300 in Europe, which kept time with oscillating timekeepers like balance wheels.","The first mechanical clocks were made around 1300 in Europe. They had wheels that moved with the time, and kept time with something like a balance wheel, but they did not work very well.","['The first mechanical clocks were made around 1300 in Europe', 'They had wheels that moved with the time, and kept time with something like a balance wheel, but they did not work very well.']",0.913029670715332,"[0.865205705165863, 0.7756890654563904]",0.8204473853111267,13.591152768333314,"[10.189882572207866, 2.3334707033436053]",6.261676637775736,0.5999999999999999,"[0.5217391304347826, 0.25]",0.3858695652173913,0.21428571428571427,"[0.2857142857142857, 0]",0.14285714285714285,0.4666666666666667,"[0.4347826086956522, 0.16666666666666666]",0.3007246376811594,0.5482116936734228,"[0.5784042636553447, 0.2541241635878881]",0.41626421362161636
7,wiki-clock-en.txt,"Traditionally, in horology, the term clock was used for a striking clock, while a clock that did not strike the hours audibly was called a timepiece.",A clock that does not strike the hours by itself is called a striking clock. A clock that does not strike at all is called a silent clock.,"['A clock that does not strike the hours by itself is called a striking clock', 'A clock that does not strike at all is called a silent clock.']",0.8755437731742859,"[0.871464192867279, 0.842568039894104]",0.8570161163806915,14.273497382461413,"[13.367326676376466, 0.7772174600740505]",7.072272068225258,0.6086956521739131,"[0.6666666666666666, 0.47058823529411764]",0.5686274509803921,0.380952380952381,"[0.37499999999999994, 0.13333333333333333]",0.25416666666666665,0.5217391304347826,"[0.4444444444444444, 0.35294117647058826]",0.39869281045751637,0.41077262825436067,"[0.42024213986264336, 0.3246999830007553]",0.37247106143169934
8,wiki-clock-en.txt,This distinction is no longer made.,This difference is no longer made.,['This difference is no longer made.'],0.9455980658531189,[0.9455980658531189],0.9455980658531189,64.34588841607616,[64.34588841607616],64.34588841607616,0.6666666666666666,[0.6666666666666666],0.6666666666666666,0.5,[0.5],0.5,0.6666666666666666,[0.6666666666666666],0.6666666666666666,0.47372491161028546,[0.47372491161028546],0.47372491161028546
9,wiki-clock-en.txt,Watches and other timepieces that can be carried on one's person are usually not referred to as clocks.,Watches and other timepieces are usually not called clocks because they can be carried on one's person.,"[""Watches and other timepieces are usually not called clocks because they can be carried on one's person.""]",0.9791651964187622,[0.9791651964187622],0.9791651964187622,46.09603493497927,[46.09603493497927],46.09603493497927,0.8333333333333334,[0.8333333333333334],0.8333333333333334,0.4000000000000001,[0.4000000000000001],0.4000000000000001,0.6666666666666666,[0.6666666666666666],0.6666666666666666,0.6705753475427627,[0.6705753475427627],0.6705753475427627
